Month,Word of Mouth,Search,AEO,Influencer / Community,YC,LinkedIn,Social,Joke / Invalid,Other / Unparseable,Not Specified,Total categorized,Total signups,% Not Specified,Partial month
2026-01,0,0,0,0,0,0,0,0,0,0,0,0,0.0,no
2026-02,0,0,0,0,0,0,0,0,0,277,0,277,100.0,no
2026-03,0,0,0,0,0,0,0,0,0,172,0,172,100.0,no
2026-04,0,0,0,0,0,0,0,0,0,1823,0,1823,100.0,no
2026-05,152,46,23,23,16,32,9,82,0,138,383,521,26.5,no
2026-06,66,42,19,5,5,6,11,27,35,0,216,215,0.0,yes
