date,totalUsers,engagedSessions,sessions,,,,,,,,,,,,,,,,,,,,,,2026-05-20T22:00:13.000Z
20260222,690,255,692,,,,,,,,,,,,,,,,,,,,,,
20260301,673,276,676,,,,,,,,,,,,,,,,,,,,,,
20260509,662,152,667,,,,,,,,,,,,,,,,,,,,,,
20260205,606,388,611,,,,,,,,,,,,,,,,,,,,,,
20260202,509,279,512,,,,,,,,,,,,,,,,,,,,,,
20260126,502,178,513,,,,,,,,,,,,,,,,,,,,,,
20260128,497,189,503,,,,,,,,,,,,,,,,,,,,,,
20260120,456,289,461,,,,,,,,,,,,,,,,,,,,,,
20260425,447,223,455,,,,,,,,,,,,,,,,,,,,,,
20260206,444,295,446,,,,,,,,,,,,,,,,,,,,,,
20260510,436,162,442,,,,,,,,,,,,,,,,,,,,,,
20260426,435,260,445,,,,,,,,,,,,,,,,,,,,,,
20260214,424,194,428,,,,,,,,,,,,,,,,,,,,,,
20260203,403,259,409,,,,,,,,,,,,,,,,,,,,,,
20260121,401,189,408,,,,,,,,,,,,,,,,,,,,,,
20260328,396,76,396,,,,,,,,,,,,,,,,,,,,,,
20260129,369,208,374,,,,,,,,,,,,,,,,,,,,,,
20260107,358,187,363,,,,,,,,,,,,,,,,,,,,,,
20260114,357,194,363,,,,,,,,,,,,,,,,,,,,,,
20260112,354,203,359,,,,,,,,,,,,,,,,,,,,,,
20260127,349,201,350,,,,,,,,,,,,,,,,,,,,,,
20260122,338,176,344,,,,,,,,,,,,,,,,,,,,,,
20260108,337,202,344,,,,,,,,,,,,,,,,,,,,,,
20260502,325,137,329,,,,,,,,,,,,,,,,,,,,,,
20260113,321,216,326,,,,,,,,,,,,,,,,,,,,,,
20260101,315,36,315,,,,,,,,,,,,,,,,,,,,,,
20260123,293,162,299,,,,,,,,,,,,,,,,,,,,,,
20260105,288,182,294,,,,,,,,,,,,,,,,,,,,,,
20260115,286,157,295,,,,,,,,,,,,,,,,,,,,,,
20260106,280,155,284,,,,,,,,,,,,,,,,,,,,,,
